,dist_from_root,length,project,leafnode,n_synapse
0,0.0,0.007160079180678576,daf-2 dauer,10603540,1
1,0.02980071897194764,0.03686994026221164,N2 dauer (Stigloher3),9202629,0
2,0.047879913276206686,0.009631753102503665,daf-2 dauer,15137893,0
3,0.19706803692718158,0.08413887003463277,TEM adult,8226127,0
4,0.2144539288671819,0.011910519137198452,TEM adult,8133487,0
5,0.2224373664730729,0.010980075202329747,SEM adult,8379261,1
6,0.27997347296877667,0.010909095085678609,daf-2 dauer,15133889,0
7,0.2813534557266611,0.008873612724082089,daf-2 dauer,10603538,0
8,0.3316919359570323,0.015362569958318988,SEM adult,8379291,0
9,0.34063633185549114,0.021735081616817916,N2 dauer (Stigloher3),16678156,0
10,0.3407542108051868,0.019091933035370576,SEM adult,8294300,0
11,0.3475664539463805,0.008269142326468793,daf-2 dauer,10603068,0
12,0.3486444653371327,0.02079356126525005,SEM adult,8380323,0
13,0.37789694358780673,0.008272412559645536,SEM adult,8379311,1
14,0.3824718124914712,0.006822026668855902,daf-2 dauer,10603536,0
15,0.38565575776067984,0.012776872519177881,daf-2 dauer,10603066,0
16,0.4473805474283687,0.005696757720348586,daf-2 dauer,10603334,0
17,0.47692724891241817,0.05871802289816952,L1 16hr,4469848,0
18,0.4784519490982305,0.00815210542739664,daf-2 dauer,10603340,0
19,0.5019795234239984,0.10547026973900539,daf-2 dauer,10602854,6
20,0.5127406988160081,0.041091307688722614,L3,7099900,0
21,0.5209340602006663,0.03863278114376436,L3,7083849,0
22,0.5274194483562508,0.039208641531791384,L3,7099911,0
23,0.54013281241066,0.03692679450410469,N2 dauer (Stigloher2),8497653,0
24,0.5592933836776978,0.023892898822727913,daf-2 dauer,10603355,0
25,0.5675836756893373,0.05562748311917027,L3,7083874,0
26,0.5688734261195126,0.050394960943607466,L1 5hr,9546797,0
27,0.5694154469614542,0.02489810724980611,L1 16hr,4260221,0
28,0.5784103257540514,0.08602621889578319,L3,7083902,0
29,0.5924254406562164,0.08713246292641406,TEM adult,8133472,0
30,0.5940524637957297,0.03354986858746471,N2 dauer (Stigloher2),8497117,0
31,0.5963687873620164,0.06800684960816612,L3,7083923,1
32,0.5965098429396114,0.035985978894415495,L3,7100233,0
33,0.5976352815269312,0.0038306226478530794,daf-2 dauer,10603360,1
34,0.5985308511124505,0.18692009706331694,daf-2 dauer,10603030,10
35,0.5998858302741972,0.0262613925046652,TEM adult,8132986,0
36,0.6118380571206653,0.043832295011457155,N2 dauer (Stigloher2),8649097,0
37,0.6164956406397889,0.025249840649492154,L2,4847656,0
38,0.623788993635462,0.030196772214189073,N2 dauer (Stigloher3),16677790,0
39,0.6283187957192725,0.07712800547332505,L3,7099985,0
40,0.6311467705057605,0.05841940592235228,L1 16hr,4260384,0
41,0.6385631686935784,0.07116701651205666,L1 16hr,4260374,0
42,0.6416856801769312,0.13440937687080756,L1 16hr,4469818,0
43,0.6423702488706923,0.08148262633089103,L3,7100010,0
44,0.6425161750157112,0.019536727906429473,daf-2 dauer,10602900,0
45,0.6433868673346625,0.02312086286657172,L2,4847678,0
46,0.6452750489326398,0.06256474109548363,TEM adult,8133442,0
47,0.6501191182785409,0.04686676880444323,TEM adult,8133400,0
48,0.6515930446939482,0.08371107426001045,L1 16hr,4260361,0
49,0.6548086165093462,0.03961397336850202,L3,7083946,0
50,0.6579429873082079,0.02223289376761358,SEM adult,8294425,0
51,0.6607813433008568,0.03286357040491374,SEM adult,8294438,0
52,0.6617042268263337,0.2718669598374609,N2 dauer (Stigloher2),8762984,4
53,0.6633649569609485,0.030441140080303304,L2,4847703,0
54,0.666890534608661,0.10234858112672321,L3,7084120,1
55,0.668812615824728,0.026681960293641793,L1 16hr,4260346,0
56,0.6702161633465623,0.11443318447011343,N2 dauer (Stigloher3),9518025,1
57,0.6719109606398834,0.1787062664207213,L1 16hr,4260342,5
58,0.6723252011696876,0.21400012477877314,N2 dauer (Stigloher2),8762856,0
59,0.673626793635329,0.018264155508262186,L2,4834021,0
60,0.6768576227427605,0.03379233021819846,daf-2 dauer,10602909,0
61,0.6773692299837807,0.06939047897662876,L3,7100223,0
62,0.6777243661816666,0.030737400462929144,L1 16hr,4260312,0
63,0.6780038506608382,0.14654739560459767,N2 dauer (Stigloher3),16678424,2
64,0.6805725208411496,0.07137447441374048,N2 dauer (Stigloher2),8762828,0
65,0.6825133414799974,0.08276930324017459,TEM adult,8133389,0
66,0.6826453083206973,0.28910765958617596,N2 dauer (Stigloher3),16678199,3
67,0.6831064956164584,0.10180522041104666,N2 dauer (Stigloher2),8760780,2
68,0.6852248540945153,0.07240387855454895,L3,7083971,0
