,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8472140,0.06423342329098691,0.8164526007956422,BWMDR05,135,1,RMDDL,"['BWMDR05', 'BWMDL03', 'RMEV', 'BWMDR03', 'BWMDR05']"
1,8472140,0.2515156414288828,0.5909428766605541,BWMDR05,135,1,RMDDL,"['BWMDR05', 'BWMDL03', 'RMEV', 'BWMDR03', 'BWMDR05']"
2,8471890,0.1475164944062873,0.522145980785526,BWMDR05,135,1,RMDDL,"['BWMDR05', 'BWMDR07']"
3,8471888,0.22547973763728832,0.522145980785526,BWMDR05,135,1,RMDDL,"['RMEV', 'BWMDR03', 'BWMDR05']"
4,8470771,0.08414339435645284,0.6050284819539615,BWMDR05,135,1,SMDDL,"['BWMDR05', 'SMDVR', 'BWMDR05', 'BWMDR03', 'BWMDR01']"
5,8470771,0.09904154306687189,0.5876500476473002,BWMDR05,135,1,SMDDL,"['BWMDR05', 'SMDVR', 'BWMDR05', 'BWMDR03', 'BWMDR01']"
6,8470770,0.13577374882227275,0.5810186186586807,BWMDR05,135,1,SMDDL,"['BWMDR05', 'BWMDR03', 'SMDVR']"
7,8470708,0.0,0.26113987650430875,BWMDR05,135,1,SMBDL,"['BWMDR05', 'RMED', 'BWMDR03', 'BWMDR01']"
8,8470707,0.12344514128542905,0.522145980785526,BWMDR05,135,1,SMBDL,"['BWMDR05', 'BWMDR07', 'RMED']"
9,8470705,0.14345201061755997,0.522145980785526,BWMDR05,135,1,SMBDL,"['RMED', 'BWMDR03', 'BWMDR01', 'BWMDR05']"
10,8470704,0.0,0.009398752575940937,BWMDR05,135,1,SMBDL,"['BWMDR05', 'BWMDR01', 'BWMDR03']"
11,8470489,0.12738619567132795,0.5876500476473002,BWMDR05,135,1,RMEV,"['BWMDL01', 'BWMDR05', 'BWMDR03', 'SMDVR', 'BWMDR01']"
12,8470488,0.17507519615970568,0.5876500476473002,BWMDR05,135,1,RMEV,"['BWMDR05', 'BWMDR03', 'BWMDR05', 'BWMDR01']"
13,8470488,0.17951372287028955,0.5909428766605541,BWMDR05,135,1,RMEV,"['BWMDR05', 'BWMDR03', 'BWMDR05', 'BWMDR01']"
14,8470309,0.0,0.8927551927349776,BWMDR05,135,1,RMDDR,"['BWMDR05', 'BWMDR03', 'BWMDL03']"
15,8470308,0.10281627688753266,0.7812331991381039,BWMDR05,135,1,RMDDR,"['BWMDR05', 'BWMDR05', 'RMDDL']"
16,8470308,0.20061031021137765,0.5909428766605541,BWMDR05,135,1,RMDDR,"['BWMDR05', 'BWMDR05', 'RMDDL']"
17,8470296,0.16330312118411283,0.522145980785526,BWMDR05,135,1,SMDDL,"['BWMDR07', 'BWMDR05', 'BWMDR05', 'CEPDR']"
18,8470296,0.1298463425553275,0.5810186186586807,BWMDR05,135,1,SMDDL,"['BWMDR07', 'BWMDR05', 'BWMDR05', 'CEPDR']"
19,8470295,0.11322778032470712,0.522145980785526,BWMDR05,135,1,SMBDL,"['BWMDR03', 'BWMDR07', 'RMED', 'BWMDR05']"
20,8470293,0.22970239808165935,0.5810186186586807,BWMDR05,135,1,RMDDL,"['URYDR', 'BWMDR05', 'BWMDR07', 'BWMDR03']"
21,8470291,0.0,0.864615426866486,BWMDR05,135,1,RMDDL,"['BWMDR05', 'BWMDL03', 'BWMDR03']"
22,8470289,0.1475164944062873,0.522145980785526,BWMDR05,135,1,RMDDL,"['BWMDR03', 'BWMDR05', 'BWMDR01']"
23,8469605,0.1744337676403037,0.6050284819539615,BWMDR05,135,1,RMEV,"['BWMDL03', 'BWMDR05', 'BWMDR03']"
24,8469603,0.2393405770174075,0.6050284819539615,BWMDR05,135,1,SMDDR,"['SMDVL', 'BWMDL03', 'BWMDR05', 'BWMDL05']"
25,8461989,0.0,0.27035660069647177,BWMDR05,135,1,CEPDR,"['BWMDR05', 'SMBDL']"
