,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,6351163,9652673,0.06660759867745399,0.8891903900439366,AIZR,121,0,AIZR,"['AIBL', 'RIMR']"
1,6479306,9652672,0.05388967971179005,0.8891903900439366,AIZR,121,0,AIZR,"['AIBL', 'RIMR']"
2,6351160,9652671,0.040051099595250085,0.8891903900439366,AIZR,121,0,AIZR,"['AIBL', 'RIMR']"
3,6351188,6647321,0.03579222134601771,0.37111399733145,AIZR,121,1,RIR,"['RIGR', 'AIZR']"
4,6351130,6647316,0.0,0.8283924373564574,AIZR,121,1,RIR,"['DVA', 'AIZR']"
5,6351072,6647256,0.0,0.3684744273681889,AIZR,121,1,RIH,"['AIZR', 'RIBR']"
6,6351062,6647245,0.0,0.292544170301659,AIZR,121,1,RIH,"['AIZR', 'RIAR']"
7,6351179,6647244,0.011297693117203517,0.37111399733145,AIZR,121,1,RIH,"['AIZR', 'RIAR', 'RIBR']"
8,6351035,6647241,0.0,0.22602055228298218,AIZR,121,1,RIH,"['AIZR', 'RIAR']"
9,6351136,6646407,0.01351221608904669,0.8931061420235819,AIZR,121,1,DVA,"['AIZR', 'AVER']"
10,6351186,6646412,0.0317785108203874,0.37111399733145,AIZR,121,1,DVA,"['RIR', 'AVEL', 'RIGR', 'AIZR']"
11,6351120,6375380,0.0,0.7438198947437665,AIZR,121,1,AWBR,"['ADFR', 'AIZR']"
12,6351124,6375360,0.0,0.7603846682504299,AIZR,121,1,AWAR,"['AIAR', 'AWBR', 'AIZR']"
13,6351174,6375173,0.012613833948683553,0.4941730894055414,AIZR,121,1,AVHL,"['ADFR', 'AIZR', 'AFDR']"
14,6351030,6374976,0.0,0.2140022043887346,AIZR,121,0,AIZR,"['SMBDR', 'SMBVR']"
15,6351041,6374975,0.0,0.24178318973485938,AIZR,121,0,AIZR,['RIAR']
16,6351046,6374974,0.0,0.2514959828037538,AIZR,121,0,AIZR,"['SMBDR', 'SMBVR']"
17,6351196,6374973,0.0188903924082664,0.35272510402283297,AIZR,121,0,AIZR,"['RIMR', 'AIBL', 'AVEL']"
18,6351178,6374972,0.006970417708589438,0.37111399733145,AIZR,121,0,AIZR,"['AIBL', 'AVEL']"
19,6351142,6374971,0.0,0.9310654761089573,AIZR,121,0,AIZR,"['AVER', 'AIBL']"
20,6351130,6374944,0.0,0.8283924373564574,AIZR,121,1,AIYR,"['AIZR', 'RIBR', 'BAGL']"
21,6351050,6374941,0.0,0.2615348736032634,AIZR,121,1,AIYR,"['AIZR', 'RIBR', 'AWBR']"
22,6351033,6374939,0.0,0.22072247196513384,AIZR,121,1,AIYR,"['AIZR', 'RIAR', 'RIBR']"
23,6351013,6374938,0.0,0.19537089141374236,AIZR,121,1,AIYR,"['AIZR', 'RIAR']"
24,6351010,6374937,0.0,0.17944635033493458,AIZR,121,1,AIYR,"['RIAR', 'AIZR', 'RIBR']"
25,6351031,6374934,0.0,0.21569905602002162,AIZR,121,1,AIYL,"['RIAL', 'AIZL', 'AIZR']"
26,6351179,6374746,0.011297693117203517,0.37111399733145,AIZR,121,1,ADFR,"['AIZR', 'RIAR']"
27,6351091,6374744,0.0,0.6007210248643773,AIZR,121,1,ADFR,"['AIZR', 'AWAR']"
28,6351091,6374742,0.0,0.6007210248643773,AIZR,121,1,ADFR,['AIZR']
29,6351125,6374741,0.0,0.7751804669001646,AIZR,121,1,ADFR,"['AIAR', 'ASEL', 'AIZR']"
30,6351060,6374738,0.0,0.2878990997664177,AIZR,121,1,ADFR,"['AIZR', 'RIAR']"
31,6351147,6374729,0.0,0.9632127324868686,AIZR,121,1,ADFL,"['AIZR', 'AUAL']"
