,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8407740,8471987,0.0,0.5104369570463331,AVHL,135,1,ASHR,"['AVAR', 'AVHL']"
1,8407790,8471764,0.0,0.5926189051472012,AVHL,135,1,AWBR,"['AVHL', 'RIGR']"
2,8407702,8471730,0.0,0.4270804664224684,AVHL,135,0,AVHL,['AWBR']
3,8407743,8471728,0.0,0.521439606716988,AVHL,135,0,AVHL,"['AWBR', 'ADFR']"
4,8407826,8471727,0.0,0.6433619121626406,AVHL,135,0,AVHL,"['RIR', 'AWBR']"
5,8407834,8471726,0.0,0.650732734177041,AVHL,135,0,AVHL,"['ADFR', 'AWBR', 'RIR']"
6,8407981,8471725,0.002797770416615263,0.902733246484028,AVHL,135,0,AVHL,['AVBL']
7,8407811,8470131,0.0,0.6225424319397345,AVHL,135,1,RIR,"['AUAR', 'AVHL', 'AIZR']"
8,8407571,8469857,0.0,0.31702691788149095,AVHL,135,1,RIFR,"['PVPR', 'AVBR', 'AVHL']"
9,8407563,8469854,0.0,0.3104435563431628,AVHL,135,1,RIFR,"['AVBR', 'PVPR', 'AVHL']"
10,8407503,8469837,0.0,0.2637881923553605,AVHL,135,1,RIFL,"['AVHL', 'AVHR', 'AVBL', 'PVPL']"
11,8407523,8469836,0.0,0.2786711809944257,AVHL,135,1,RIFL,"['AVHL', 'PVPL', 'AVBR', 'AVBL']"
12,8407750,8469242,0.0,0.5329022860625798,AVHL,135,1,PVPR,"['AQR', 'AVHL']"
13,8407930,8469191,0.003121441240825783,0.8036428100995213,AVHL,135,1,PVCR,"['AVBR', 'AVHL']"
14,8407762,8453059,0.0,0.556645517097797,AVHL,135,1,ASHR,"['AVHL', 'AVAR']"
15,8407911,8417279,0.014061803531379398,0.745723461585971,AVHL,135,0,AVHL,"['SMBDR', 'SMBVR']"
16,8407278,8417278,0.0,0.08472255854040095,AVHL,135,0,AVHL,['SMDVL']
17,8407597,8417277,0.0,0.3340796937499816,AVHL,135,0,AVHL,"['PVPR', 'RIR']"
18,8407695,8417276,0.0,0.4165780343407104,AVHL,135,0,AVHL,"['RIR', 'ADFR']"
19,8407749,8417275,0.0,0.5319490505462572,AVHL,135,0,AVHL,"['RIR', 'PVPR']"
20,8407760,8417274,0.0,0.5535584141764412,AVHL,135,0,AVHL,"['AVAR', 'RIR']"
21,8407867,8417273,0.0,0.7070593557833432,AVHL,135,0,AVHL,"['SMBVR', 'ADLR']"
22,8407733,8416229,0.0,0.49598003851675343,AVHL,135,0,AVHL,"['ASHR', 'RIR']"
