,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8300864,8470882,0,0.33659911386060554,SDQR,135,1,URBR,"['SDQR', 'AVBR']"
1,8300932,8470617,0,0.5010782407797667,SDQR,135,0,SDQR,"['AVBL', 'SIBVL']"
2,8300949,8470616,0,0.5270600008796738,SDQR,135,0,SDQR,"['RICR', 'AVBL']"
3,8300970,8470615,0,0.6005192220344148,SDQR,135,0,SDQR,"['AVBL', 'DVA']"
4,8301008,8470614,0,0.692778134501982,SDQR,135,0,SDQR,"['AIBL', 'SMDDR']"
5,8301075,8470613,0,0.8092760526851006,SDQR,135,0,SDQR,"['AVBR', 'DVA']"
6,8301090,8470612,0,0.8503398007745768,SDQR,135,0,SDQR,"['DVA', 'AVBR']"
7,8301102,8470611,0,0.8764325226665679,SDQR,135,0,SDQR,"['DVA', 'AVBR']"
8,8301106,8470610,0,0.881635773245214,SDQR,135,0,SDQR,"['SDQL', 'AVBR']"
9,8301047,8470605,0,0.7648009073232307,SDQR,135,0,SDQR,"['AVBR', 'AVAR']"
10,8301080,8470273,0,0.8219722765689248,SDQR,135,0,SDQR,"['DVA', 'AVBR']"
11,8301085,8470254,0,0.8358023049353898,SDQR,135,0,SDQR,"['AVBR', 'DVA']"
12,8301120,8469167,0,0.8985317237475734,SDQR,135,0,SDQR,"['DVA', 'AVBR']"
13,8301043,8462253,0,0.7532780745387013,SDQR,135,1,FLPL,"['SDQR', 'AVBR', 'AVAR', 'DVA']"
