,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,10642510,11440354,0.0,1.0,RMGL,186,1,RICR,"['RMGL', 'SIBVL', 'ADAL']"
1,10602957,11440912,0.0,0.8881842609516213,RMGL,186,1,URBL,"['RICL', 'RICR', 'RMGL', 'ADAL']"
2,10603003,11440680,0.059306615642981494,0.5985308511124505,RMGL,186,1,RMFR,"['RMDL', 'RMGL']"
3,10602862,11440661,0.07809735586111574,0.5019795234239984,RMGL,186,1,RMGL,"['SIBDR', 'RMGL']"
4,10602847,11440661,0.08363326669814948,0.5019795234239984,RMGL,186,0,RMGL,"['SIBDR', 'RMGL']"
5,10602847,11440660,0.08363326669814948,0.5019795234239984,RMGL,186,0,RMGL,"['AVJR', 'AVEL', 'SAADR']"
6,10602955,11440659,0.0,0.8792284149739287,RMGL,186,0,RMGL,"['DVA', 'AVEL']"
7,10602960,11440658,0.004639468998910217,0.9149114922146674,RMGL,186,0,RMGL,['AVEL']
8,10602960,11440657,0.004639468998910217,0.9149114922146674,RMGL,186,0,RMGL,['AVEL']
9,10603056,11440655,0.10228523776547056,0.5985308511124505,RMGL,186,1,RMGL,"['BWMVL04', 'RMGL', 'musclefragment18']"
10,10603027,11440655,0.1673814272411198,0.5985308511124505,RMGL,186,0,RMGL,"['BWMVL04', 'RMGL', 'musclefragment18']"
11,10603056,11440653,0.10228523776547056,0.5985308511124505,RMGL,186,0,RMGL,"['BWMVL06', 'RMDVR']"
12,10602998,11440651,0.01478182514880299,0.5985308511124505,RMGL,186,0,RMGL,['RMFR']
13,10602893,11440453,0.0,0.6309530237223779,RMGL,186,1,RMDR,"['RMFR', 'RMHR', 'RIVR', 'RMGL']"
14,10602787,11440359,0.0,0.10973610425943621,RMGL,186,1,RIFL,"['AIZL', 'AIML', 'RMGL']"
15,10602921,11440145,0.0,0.759376943107594,RMGL,186,1,RMDR,"['BWMDL08', 'BWMDL04', 'RMGL']"
16,10602823,11440100,0.0,0.3333530046887989,RMGL,186,1,PVQL,"['BDUL', 'RMGL', 'RIFL']"
17,10603020,11440060,0.1336986771356636,0.5985308511124505,RMGL,186,1,OLQVL,"['RMGL', 'RMFR', 'RMHR']"
18,10603038,11439627,0.07274885012510254,0.5985308511124505,RMGL,186,0,RMGL,"['BWMVL06', 'BWMVL04']"
19,10602872,11438315,0.0,0.5164820094667263,RMGL,186,1,AIML,"['RMGL', 'AVEL']"
20,10602833,11438311,0.0,0.42661963664338287,RMGL,186,1,AIML,"['AVAL', 'AVBL', 'RMGL', 'ASHL']"
21,10602905,11436649,0.0,0.6609367947953576,RMGL,186,0,RMGL,"['SMBDL', 'SIBDL']"
22,10602839,10947281,0.012158952188981236,0.5019795234239984,RMGL,186,1,RMGL,"['RMGL', 'AVEL']"
23,10602969,10934478,0.005282187297032764,0.9286985123390014,RMGL,186,1,IL1L,"['RICL', 'RMGL']"
24,10602859,10948011,0.06661672828790051,0.5019795234239984,RMGL,186,1,SAADR,"['SMBVL', 'RMGL']"
25,10603034,10947287,0.10910674132169317,0.5985308511124505,RMGL,186,0,RMGL,['RMDL']
26,10602983,10947286,0.020970393697109162,0.6984503942773216,RMGL,186,0,RMGL,"['SAADR', 'RMDVL', 'AVEL']"
27,10602881,10947285,0.0,0.5985308511124505,RMGL,186,0,RMGL,"['RMDL', 'RMFR']"
28,10602905,10947284,0.0,0.6609367947953576,RMGL,186,0,RMGL,"['SIBVR', 'SIBDL', 'SIBVL']"
29,10602980,10947283,0.005379200835718934,0.6984503942773216,RMGL,186,0,RMGL,"['SAADR', 'SIBVL']"
30,10602839,10947282,0.012158952188981236,0.5019795234239984,RMGL,186,0,RMGL,"['SMBVL', 'AIML']"
31,10602965,10947281,0.0,0.9235552529469941,RMGL,186,0,RMGL,"['RMGL', 'AVEL']"
32,10603031,10947277,0.10076371713247201,0.5985308511124505,RMGL,186,1,RMFR,"['RMDL', 'RMHR', 'RMGL']"
33,10603038,10947275,0.07274885012510254,0.5985308511124505,RMGL,186,1,RMFR,"['RMDL', 'RMGL']"
34,10603069,10932267,0.009309656910174881,0.0,RMGL,186,1,ADEL,['RMGL']
