,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8172485,9637921,0.02887937674264992,0.16714119817641973,BWMVR07,133,1,RIVL,"['BWMVR05', 'BWMVR07']"
1,8172594,8468215,0.0,0.8227789521741236,BWMVR07,133,1,RMDVL,"['BWMVR03', 'BWMVR05', 'BWMVR07']"
2,8172468,8468209,0.7009561234728197,0.138163972465874,BWMVR07,133,1,RMDVL,"['BWMVR05', 'BWMVR03', 'BWMVR03', 'BWMVR07']"
3,8172447,8468201,0.4958142745200561,0.138163972465874,BWMVR07,133,1,RMDVL,"['RMDDR', 'BWMVR03', 'BWMVR05', 'BWMVR07']"
4,8172415,8467957,0.2882166823072634,0.138163972465874,BWMVR07,133,1,RIVR,['BWMVR07']
5,8172415,8467956,0.2882166823072634,0.138163972465874,BWMVR07,133,1,RIVR,"['BWMVR07', 'BWMVL05']"
6,8172421,8467953,0.1545563721467254,0.138163972465874,BWMVR07,133,1,RIVR,"['BWMVR07', 'BWMVL05', 'BWMVL07']"
7,8172483,8467935,0.0,0.1473162603536886,BWMVR07,133,1,RIVL,['BWMVR07']
8,8172364,8467926,0.16597809082196485,0.07718063166591348,BWMVR07,133,1,RIVL,"['SAADR', 'BWMVR07', 'BWMVR07']"
9,8172352,8467926,0.10099631429294598,0.021204812465464875,BWMVR07,133,1,RIVL,"['SAADR', 'BWMVR07', 'BWMVR07']"
10,8172510,8467925,0.27917658657324235,0.2351287944667602,BWMVR07,133,1,RIVL,"['BWMVR07', 'BWMVR07']"
11,8172360,8467925,0.08662608585692702,0.07718063166591348,BWMVR07,133,1,RIVL,"['BWMVR07', 'BWMVR07']"
12,8172507,8467923,0.25061680371889783,0.2351287944667602,BWMVR07,133,1,RIVL,"['BWMVR07', 'BWMVR07']"
13,8172379,8467923,0.0,0.1215141504718566,BWMVR07,133,1,RIVL,"['BWMVR07', 'BWMVR07']"
14,8172488,8467922,0.057765722595200665,0.16714119817641973,BWMVR07,133,1,RIVL,"['BWMVR07', 'BWMVR05']"
15,8172529,8467921,0.33564125322087857,0.3074060506431386,BWMVR07,133,1,RIVL,"['BWMVR07', 'BWMVR07', 'BWMVR07', 'excgl']"
16,8172407,8467921,0.09670173371224754,0.138163972465874,BWMVR07,133,1,RIVL,"['BWMVR07', 'BWMVR07', 'BWMVR07', 'excgl']"
17,8172504,8467921,0.22792083672777025,0.2351287944667602,BWMVR07,133,1,RIVL,"['BWMVR07', 'BWMVR07', 'BWMVR07', 'excgl']"
18,8172500,8467919,0.1919993579144973,0.2351287944667602,BWMVR07,133,1,RIVL,"['BWMVR05', 'BWMVR07']"
19,8172511,8467918,0.0,0.24209532124486502,BWMVR07,133,1,RIVL,"['BWMVR05', 'BWMVR07']"
20,8172491,8467917,0.08255778499095216,0.16714119817641973,BWMVR07,133,1,RIVL,"['BWMVR05', 'BWMVR07']"
21,8172548,8240779,0.0,0.3726938506355653,BWMVR07,133,1,SMBVR,"['BWMVR05', 'BWMVR03', 'BWMVR07', 'RMEV', 'BWMVR05', 'BWMVR03']"
22,8172384,8240777,0.1406903231148792,0.1215141504718566,BWMVR07,133,1,SMBVR,"['BWMVR05', 'CEPshVR', 'BWMVR07']"
