,dist_from_root,length,project,leafnode,n_conns
0,0.0,0.015483516935094624,L1 16hr,4277653.0,0
1,0.011940388280541982,0.03400319207560838,daf-2 dauer,10587668.0,0
2,0.02072656396102322,0.03623429117544107,L1 16hr,4307728.0,0
3,0.037528256295790464,0.115500958666594,SEM adult,8388110.0,0
4,0.04613330651625636,0.03475312480295323,L3,7118909.0,0
5,0.04821285114452313,0.0038867892699362525,daf-2 dauer,10587666.0,0
6,0.06450096472064108,0.03786954933750576,N2 dauer (Stigloher2),8953133.0,0
7,0.06515624341885684,0.028473080172584066,N2 dauer (Stigloher2),9010431.0,0
8,0.07823265195480994,0.07551877000825521,N2 dauer (Stigloher3),16681881.0,0
9,0.08810746375978104,0.0751840696000359,daf-2 dauer,10590655.0,1
10,0.09039044570465082,0.04837469428591767,SEM adult,8277402.0,1
11,0.09429687839698635,0.040908588539119495,L2,4819744.0,0
12,0.12905292604717913,0.026284278071319226,L2,4817918.0,0
13,0.13720296917823585,0.061622341788450545,L3,7069946.0,0
14,0.28020990900521514,0.008175268996346062,N2 dauer (Stigloher2),9008851.0,0
15,0.29958762421165586,0.005858422166734107,N2 dauer (Stigloher3),9000879.0,0
16,0.30155896358189466,0.021828682878217903,N2 dauer (Stigloher2),8537712.0,0
17,0.3052516580360643,0.00543334539401812,N2 dauer (Stigloher3),9598285.0,1
18,0.35660405728364136,0.002725072732403569,daf-2 dauer,10587665.0,0
19,0.37699630000975415,0.004554123053990552,daf-2 dauer,10590641.0,0
20,0.40624529331134207,0.009458922299338389,daf-2 dauer,10587664.0,1
21,0.41027329253535944,0.004546824515018258,daf-2 dauer,10587661.0,0
22,0.41998417115974873,0.0038617627365986145,daf-2 dauer,10590640.0,0
23,0.42626481235637875,0.007076590816425018,daf-2 dauer,10590639.0,1
24,0.4497124328647775,0.41986382634118447,SEM adult,8388562.0,36
25,0.45274028331999955,0.4873876926218566,L1 16hr,4307614.0,23
26,0.48735706133009554,0.3630817197232231,L1 16hr,4277518.0,90
27,0.5254609407430805,0.3281961581288947,daf-2 dauer,10587660.0,24
28,0.5500304759453541,0.020233230223477245,N2 dauer (Stigloher3),16686058.0,0
29,0.5555783443106037,0.3963806620168785,SEM adult,8277684.0,28
30,0.5802781788765137,0.326249419307544,L1 8hr,6326879.0,8
31,0.5827658487445828,0.03826483653935754,TEM adult,8162987.0,3
32,0.5844417222486884,0.24514735972320234,N2 dauer (Stigloher2),9008588.0,17
33,0.5886785174705662,0.3723254837982745,TEM adult,8161462.0,18
34,0.5898874620697473,0.30074203861879295,N2 dauer (Stigloher3),9001166.0,6
35,0.5957627580688952,0.32275668692835824,TEM adult,8163131.0,13
36,0.5973075071431939,0.28930827524992625,N2 dauer (Stigloher2),8485210.0,23
37,0.6012063311601513,0.39172879820253087,L2,4818287.0,6
38,0.6071324683160412,0.3178704236610083,L3,7069935.0,10
39,0.6107751198502213,0.3804695977905438,L3,7118846.0,15
40,0.6121966104624164,0.23549921921389574,N2 dauer (Stigloher3),9599466.0,15
41,0.6207253187530435,0.2966072579631366,daf-2 dauer,10590564.0,39
42,0.626005958446508,0.27990648069257745,L2,4819851.0,8
43,0.6346527437257404,0.2169723485500338,L1 0hr,6942724.0,3
44,0.6378613602256875,0.26534469340685607,L1 5hr,9566594.0,6
45,0.6403731925987003,0.04025910642034984,daf-2 dauer,10590637.0,4
46,0.6458367078573394,0.012423327749703,N2 dauer (Stigloher2),8490549.0,0
47,0.6580624932278606,0.3055075773770402,L1 8hr,6336514.0,10
48,0.6638877177348954,0.2943957839455886,L1 0hr,6928480.0,3
49,0.6769145267372603,0.3034972434993736,L1 5hr,9566408.0,4
