,dist_from_root,length,project,leafnode,n_conns
0,0.06195835426963655,0.012900578508224698,daf-2 dauer,10583336,0
1,0.11129615183764585,0.020928997920590713,daf-2 dauer,10583693,2
2,0.11357352539798989,0.04255239279006542,SEM adult,8288747,0
3,0.15243144230066039,0.004211072051091718,daf-2 dauer,10583697,0
4,0.1672465792475473,0.06207415971412961,N2 dauer (Stigloher2),8954812,1
5,0.18904168796596071,0.018621423466044593,SEM adult,15134917,1
6,0.1957474691363183,0.02240391438726548,L1 8hr,6375384,0
7,0.24419345383354343,0.03851674388232055,N2 dauer (Stigloher3),16679329,0
8,0.25076127385030095,0.022409273688146453,N2 dauer (Stigloher3),8990591,0
9,0.2551797974610046,0.053762532717753456,N2 dauer (Stigloher2),8759005,0
10,0.28646977796242484,0.023158772300177922,TEM adult,8195879,1
11,0.29076661744146337,0.06930323222576158,N2 dauer (Stigloher3),9595270,0
12,0.2936279642975747,0.04016917484163912,daf-2 dauer,10583513,0
13,0.3033963196602321,0.013185495666392233,daf-2 dauer,10583376,0
14,0.36070331948120676,0.03811341860901057,N2 dauer (Stigloher2),8489396,0
15,0.37888283697846853,0.021887273483448464,daf-2 dauer,10583734,0
16,0.4083631377987735,0.0669322057216763,N2 dauer (Stigloher2),8758984,0
17,0.42065048304528374,0.007464468699010261,daf-2 dauer,10583388,0
18,0.42957909264134875,0.011189346733308526,daf-2 dauer,10583854,0
19,0.4365727419606768,0.01259500339948497,daf-2 dauer,10583738,0
20,0.4912170687877669,0.006967916021076197,daf-2 dauer,10583852,0
21,0.5037153095177427,0.032973826740798566,N2 dauer (Stigloher3),8991079,0
22,0.5110932880491716,0.029335049391940742,N2 dauer (Stigloher2),8758980,0
23,0.5398992199345337,0.043069963878776873,daf-2 dauer,10583851,1
24,0.5760233073070755,0.06671550048600838,N2 dauer (Stigloher2),8758959,0
25,0.5810183312381971,0.021326268883631986,daf-2 dauer,10583418,2
26,0.6075921586266717,0.003958504318708432,daf-2 dauer,10583839,1
27,0.6742407145530791,0.0033051290243214307,daf-2 dauer,10583432,0
28,0.7027808608217915,0.004273979150414017,N2 dauer (Stigloher2),8785854,0
29,0.7288591219510749,0.002143795710343448,N2 dauer (Stigloher3),9593197,0
30,0.7299366471734172,0.01165296517573704,N2 dauer (Stigloher2),8785857,0
31,0.7312232956920989,0.013724703022958652,daf-2 dauer,10583510,0
32,0.8230536854364189,0.00619071904270981,N2 dauer (Stigloher2),8758911,0
33,0.8367537523130526,0.006471085345586182,N2 dauer (Stigloher2),8950605,0
34,0.8393740182375291,0.07751551584991168,N2 dauer (Stigloher2),8950609,0
35,0.8527014184946086,0.012025520713531874,N2 dauer (Stigloher2),8950618,0
36,0.8855907474746246,0.015664484198784072,N2 dauer (Stigloher3),8990469,0
37,0.8912803442455397,0.015361734953031924,N2 dauer (Stigloher3),8990486,0
38,0.940986442588855,0.008613834277791025,N2 dauer (Stigloher2),8950627,0
39,0.9607762688324277,0.03364562333835901,L2,4879644,2
40,0.9670551676166841,0.013351229948229187,N2 dauer (Stigloher2),8759041,0
41,0.9868488509368323,0.00755923411971974,N2 dauer (Stigloher2),8950630,0
