,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4361141,4508266,0.0,0.6705123177260391,URAVL,98,1,IL2VL,"['RIPL', 'URAVL', 'IL1VL']"
1,4361155,4507437,0.0,0.727870058616017,URAVL,98,0,URAVL,"['RIPL', 'BWMVL02']"
2,4361156,4507436,0.0,0.7354353189411079,URAVL,98,0,URAVL,"['BWMVL02', 'RIPL']"
3,4361157,4507435,0.0,0.7440307831064013,URAVL,98,0,URAVL,"['RIPL', 'BWMVL02']"
4,4361152,4507428,0.0,0.7024496310025888,URAVL,98,0,URAVL,"['RIPL', 'BWMVL02']"
5,4361151,4507427,0.0,0.6999766421123084,URAVL,98,0,URAVL,"['RIPL', 'BWMVL02']"
6,4361150,4507426,0.0,0.6960192428108009,URAVL,98,0,URAVL,"['BWMVL02', 'BWMVL01']"
7,4361149,4507425,0.0,0.6940909687043869,URAVL,98,0,URAVL,"['BWMVL02', 'BWMVL01']"
8,4361148,4507424,0.0,0.6921298766261221,URAVL,98,0,URAVL,"['BWMVL02', 'BWMVL01']"
9,4361147,4507423,0.0,0.6908547151662643,URAVL,98,0,URAVL,"['BWMVL02', 'BWMVL01']"
10,4361162,4507407,0.0,0.8343697832060466,URAVL,98,0,URAVL,"['RIPL', 'BWMVL02', 'BWMVL01']"
11,4361163,4507406,0.0,0.8357694308607496,URAVL,98,0,URAVL,"['RIPL', 'BWMVL02', 'BWMVL01']"
12,4361164,4507405,0.0,0.8415882100988759,URAVL,98,0,URAVL,"['RIPL', 'BWMVL01', 'BWMVL02']"
13,4361165,4507404,0.0,0.8492742777189726,URAVL,98,0,URAVL,"['RIPL', 'BWMVL02']"
14,4361166,4507403,0.0,0.8582264823758539,URAVL,98,0,URAVL,"['RIPL', 'BWMVL02']"
15,4361167,4507401,0.0,0.8633753175430297,URAVL,98,0,URAVL,"['RIPL', 'BWMVL02']"
16,4361166,4507400,0.0,0.8582264823758539,URAVL,98,0,URAVL,['BWMVL02']
17,4361165,4507399,0.0,0.8492742777189726,URAVL,98,0,URAVL,['BWMVL02']
18,4361164,4507398,0.0,0.8415882100988759,URAVL,98,0,URAVL,"['BWMVL02', 'BWMVL01']"
19,4361163,4507397,0.0,0.8357694308607496,URAVL,98,0,URAVL,['BWMVL01']
20,4361145,4505311,0.0,0.68611861487662,URAVL,98,0,URAVL,"['RIPL', 'BWMVL02', 'BWMVL01']"
21,4361126,4498070,0.015575743341513256,0.6345122421837442,URAVL,98,0,URAVL,"['BWMVL01', 'BWMVL02']"
22,4361125,4498069,0.013805000103660736,0.6345122421837442,URAVL,98,0,URAVL,"['RIPL', 'BWMVL01']"
23,4361123,4498068,0.0,0.6345122421837442,URAVL,98,0,URAVL,"['RMEL', 'RIPL']"
24,4361124,4498067,0.005513187191862566,0.6345122421837442,URAVL,98,0,URAVL,"['RMEV', 'RIPL']"
25,4361125,4498066,0.013805000103660736,0.6345122421837442,URAVL,98,0,URAVL,"['RMEV', 'BWMVL01']"
26,4361126,4498065,0.015575743341513256,0.6345122421837442,URAVL,98,0,URAVL,"['BWMVL01', 'RMEV']"
