,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4292918,5067180,0.0,0.4249447939010727,BAGR,98,1,AINR,"['RID', 'BAGL', 'BAGR']"
1,4292923,5067178,0.0,0.43589996936051684,BAGR,98,1,AINR,"['RIBL', 'BAGR']"
2,4293021,5067177,0.0,0.9278058530523522,BAGR,98,1,AINR,"['AFDL', 'BAGR']"
3,4293073,4504123,0.01624676395347068,0.8479479107756531,BAGR,98,1,AINR,"['CEPshVL', 'BAGR']"
4,4293081,4503932,0.012036156172588394,0.8314241014587335,BAGR,98,0,BAGR,"['RIGL', 'RIAL']"
5,4292930,4503926,0.0,0.4616489366410548,BAGR,98,0,BAGR,"['RIBL', 'AVEL']"
6,4292935,4503922,0.0,0.48468081741901997,BAGR,98,0,BAGR,"['AVEL', 'RIBL']"
7,4292951,4503916,0.0,0.520050711831181,BAGR,98,0,BAGR,"['RIBL', 'AVEL']"
8,4292950,4503915,0.0,0.5191149069306517,BAGR,98,0,BAGR,"['RIBL', 'AVEL']"
9,4292949,4503914,0.0,0.5177449326961894,BAGR,98,0,BAGR,"['AVEL', 'RIBL']"
10,4292948,4503913,0.0,0.5168797625460693,BAGR,98,0,BAGR,"['RIBL', 'AVEL']"
11,4293049,4503912,0.030984768134064603,0.9166894825297986,BAGR,98,1,AIYL,"['AIZL', 'BAGR']"
12,4293048,4503911,0.028574897179955892,0.9166894825297986,BAGR,98,1,AIYL,"['AIZL', 'BAGR']"
13,4293047,4503910,0.025565275599042776,0.9166894825297986,BAGR,98,1,AIYL,"['AIZL', 'BAGR']"
14,4293108,4503882,0.1100751725296216,0.8314241014587335,BAGR,98,0,BAGR,"['RIAL', 'RIGL']"
15,4293107,4503881,0.10818298958719128,0.8314241014587335,BAGR,98,0,BAGR,"['RIGL', 'RIAL']"
16,4293106,4503880,0.10730093647672129,0.8314241014587335,BAGR,98,0,BAGR,"['RIAL', 'RIGL']"
17,4293105,4503879,0.10622749463664835,0.8314241014587335,BAGR,98,0,BAGR,"['RIAL', 'RIGL']"
18,4293104,4503878,0.10323723168834614,0.8314241014587335,BAGR,98,0,BAGR,"['RIAL', 'RIGL']"
19,4293056,4503687,0.04907827752027001,0.886841412048503,BAGR,98,1,AIYL,"['AIZL', 'BAGR']"
20,4293099,4503447,0.08300165034469455,0.8314241014587335,BAGR,98,0,BAGR,"['RIAL', 'RIBL']"
21,4293100,4503446,0.08646312996329483,0.8314241014587335,BAGR,98,0,BAGR,['RIAL']
22,4293101,4503445,0.08808583889528505,0.8314241014587335,BAGR,98,0,BAGR,['RIAL']
23,4293073,4503407,0.01624676395347068,0.8479479107756531,BAGR,98,0,BAGR,"['RIBL', 'RIAL']"
24,4293072,4503406,0.009092131153132971,0.8479479107756531,BAGR,98,0,BAGR,"['RIBL', 'RIAL']"
25,4293071,4503405,0.006288001899951717,0.8479479107756531,BAGR,98,0,BAGR,"['RIAL', 'RIBL']"
26,4293070,4503404,0.004676265527422762,0.8479479107756531,BAGR,98,0,BAGR,"['RIAL', 'RIBL']"
27,4293005,4503403,0.0,0.8314241014587335,BAGR,98,0,BAGR,"['RIBL', 'RIAL']"
28,4293079,4503402,0.005166144478104705,0.8314241014587335,BAGR,98,0,BAGR,"['RIBL', 'RIAL']"
29,4293080,4503401,0.0060505459074750275,0.8314241014587335,BAGR,98,0,BAGR,"['RIBL', 'RIAL']"
30,4293081,4503400,0.012036156172588394,0.8314241014587335,BAGR,98,0,BAGR,"['RIBL', 'RIAL']"
31,4293082,4503399,0.020125891921106094,0.8314241014587335,BAGR,98,0,BAGR,"['RIBL', 'RIAL']"
32,4293083,4503398,0.025563115909787087,0.8314241014587335,BAGR,98,0,BAGR,"['RIBL', 'RIAL']"
33,4292959,4502733,0.0,0.5659386449444398,BAGR,98,1,RIGL,"['AVEL', 'BAGR', 'AIZL', 'AIBR']"
34,4292958,4502732,0.0,0.5514599875508885,BAGR,98,1,RIGL,"['AIZL', 'AVEL', 'BAGR']"
35,4293090,4502709,0.058295814518496275,0.8314241014587335,BAGR,98,1,RIGL,"['OLQVL', 'BAGR', 'RIBL']"
36,4293091,4502708,0.05997313394568394,0.8314241014587335,BAGR,98,1,RIGL,"['DVC', 'BAGR', 'RIBL']"
37,4293093,4502706,0.07018795330757403,0.8314241014587335,BAGR,98,1,RIGL,"['RIBL', 'BAGR']"
38,4293094,4502705,0.07296715206990771,0.8314241014587335,BAGR,98,1,RIGL,"['RIBL', 'BAGR']"
39,4292938,4502084,0.0,0.48769196056913766,BAGR,98,1,RIBL,"['BAGR', 'AVEL']"
40,4292939,4502083,0.0,0.48850777636759307,BAGR,98,1,RIBL,"['AVEL', 'BAGR']"
41,4292940,4502082,0.0,0.49034408367754795,BAGR,98,1,RIBL,"['BAGR', 'AVEL']"
42,4292967,4502079,0.0,0.623997980344569,BAGR,98,1,RIBL,"['AVEL', 'BAGR']"
43,4292994,4501493,0.0,0.7522925478852682,BAGR,98,1,AIZL,"['RIAL', 'BAGR']"
44,4292974,4500891,0.0,0.6694792948457325,BAGR,98,1,AIYL,"['BAGR', 'AIZL', 'RIBL']"
45,4293027,4500389,0.0,0.9438536548881379,BAGR,98,1,AINR,"['AFDL', 'BAGR']"
46,4293022,4497925,0.0,0.9307044839362442,BAGR,98,1,AFDL,"['AIYL', 'BAGR']"
47,4293062,4497915,0.02866269025647098,0.876663851673667,BAGR,98,1,AFDL,"['AIYL', 'BAGR']"
48,4293063,4497914,0.029887167014962433,0.876663851673667,BAGR,98,1,AFDL,"['AIYL', 'BAGR']"
